timestamp,price,demand,demand_total,pv_power
2023-04-15 00:05:00,-46.9,1500.65,1512.3,0
2023-04-15 00:10:00,-46.9,1496.82,1509.49,0
2023-04-15 00:15:00,-46.9,1487.98,1500.69,0
2023-04-15 00:20:00,-46.9,1494.4,1505.88,0
2023-04-15 00:25:00,-46.9,1487.83,1504.19,0
2023-04-15 00:30:00,-46.9,1491.82,1503.58,0
2023-04-15 00:35:00,-46.9,1528.38,1539.79,0
2023-04-15 00:40:00,-46.9,1512.05,1523.35,0
2023-04-15 00:45:00,-46.9,1492.56,1503.9,0
2023-04-15 00:50:00,-46.9,1504.91,1516.17,0
2023-04-15 00:55:00,-46.9,1476.76,1489.54,0
2023-04-15 01:00:00,-48.5,1467.5,1478.51,0
2023-04-15 01:05:00,-48.5,1468.04,1484.55,0
2023-04-15 01:10:00,-48.5,1441.19,1456.9,0
2023-04-15 01:15:00,-48.5,1440.92,1452.54,0
2023-04-15 01:20:00,-48.5,1412.59,1424.33,0
2023-04-15 01:25:00,-48.5,1409.31,1420.96,0
2023-04-15 01:30:00,-48.5,1387.6,1399.38,0
2023-04-15 01:35:00,-48.5,1379.85,1391.67,0
2023-04-15 01:40:00,-50.0,1368.48,1380.43,0
2023-04-15 01:45:00,-50.0,1366.99,1378.7,0
2023-04-15 01:50:00,-50.0,1353.34,1365.64,0
2023-04-15 01:55:00,-50.0,1345.58,1357.57,0
2023-04-15 02:00:00,-50.0,1337.29,1349.33,0
2023-04-15 02:05:00,-50.0,1326.03,1337.12,0
2023-04-15 02:10:00,-50.0,1325.22,1336.53,0
2023-04-15 02:15:00,-50.0,1319.74,1332.15,0
2023-04-15 02:20:00,-50.0,1305.0,1355.54,0
2023-04-15 02:25:00,-50.0,1300.51,1314.13,0
2023-04-15 02:30:00,-50.0,1300.34,1310.78,0
2023-04-15 02:35:00,-50.0,1283.46,1294.91,0
2023-04-15 02:40:00,-49.75,1281.22,1327.7,0
2023-04-15 02:45:00,-52.17,1280.21,1303.15,0
2023-04-15 02:50:00,-71.3,1287.59,1300.3,0
2023-04-15 02:55:00,-50.0,1280.96,1298.39,0
2023-04-15 03:00:00,-50.0,1269.45,1279.94,0
2023-04-15 03:05:00,-50.0,1261.46,1273.92,0
2023-04-15 03:10:00,-50.0,1266.73,1277.31,0
2023-04-15 03:15:00,-50.0,1229.4,1245.2,0
2023-04-15 03:20:00,-50.0,1226.18,1237.03,0
2023-04-15 03:25:00,-50.0,1230.1,1261.99,0
2023-04-15 03:30:00,-50.0,1221.23,1231.97,0
2023-04-15 03:35:00,-50.0,1223.72,1245.51,0
2023-04-15 03:40:00,-50.0,1221.92,1247.52,0
2023-04-15 03:45:00,-50.0,1226.97,1246.1,0
2023-04-15 03:50:00,-50.0,1233.75,1260.46,0
2023-04-15 03:55:00,-50.0,1220.6,1246.31,0
2023-04-15 04:00:00,-50.0,1223.09,1234.9,0
2023-04-15 04:05:00,-48.5,1214.1,1225.21,0
2023-04-15 04:10:00,-48.5,1210.52,1221.84,0
2023-04-15 04:15:00,-48.5,1221.68,1232.22,0
2023-04-15 04:20:00,-48.5,1210.14,1221.09,0
2023-04-15 04:25:00,-48.5,1228.81,1240.95,0
2023-04-15 04:30:00,-48.5,1221.07,1231.95,0
2023-04-15 04:35:00,-48.5,1254.36,1264.89,0
2023-04-15 04:40:00,-48.5,1247.85,1258.55,0
2023-04-15 04:45:00,-48.5,1237.19,1248.87,0
2023-04-15 04:50:00,-48.5,1230.53,1241.32,0
2023-04-15 04:55:00,-48.5,1221.51,1232.16,0
2023-04-15 05:00:00,-48.5,1221.12,1231.69,0
2023-04-15 05:05:00,-48.5,1213.13,1223.77,0
2023-04-15 05:10:00,-48.5,1213.08,1223.63,0
2023-04-15 05:15:00,-48.5,1210.96,1221.86,0
2023-04-15 05:20:00,-48.5,1239.13,1249.29,0
2023-04-15 05:25:00,-48.5,1210.31,1221.09,0
2023-04-15 05:30:00,-46.9,1224.68,1235.34,0
2023-04-15 05:35:00,-46.9,1261.54,1271.93,0
2023-04-15 05:40:00,-46.9,1252.29,1262.87,0
2023-04-15 05:45:00,-46.8,1273.7,1284.53,0
2023-04-15 05:50:00,-46.8,1255.65,1266.76,0
2023-04-15 05:55:00,-46.8,1266.26,1277.12,0
2023-04-15 06:00:00,-46.8,1250.53,1261.37,0
2023-04-15 06:05:00,-46.7,1266.26,1276.88,0
2023-04-15 06:10:00,-46.6,1261.31,1272.72,0
2023-04-15 06:15:00,-18.17,1266.72,1275.79,0
2023-04-15 06:20:00,-18.17,1271.31,1275.65,0
2023-04-15 06:25:00,-18.59,1286.64,1290.69,0
2023-04-15 06:30:00,3.88,1260.41,1262.09,0
2023-04-15 06:35:00,3.51,1256.82,1259.97,0
2023-04-15 06:40:00,0.02,1249.77,1252.62,0
2023-04-15 06:45:00,4.2,1255.99,1257.04,0
2023-04-15 06:50:00,4.94,1266.49,1267.71,0
2023-04-15 06:55:00,0.02,1267.6,1269.23,0
2023-04-15 07:00:00,0.79,1259.42,1260.8,0
2023-04-15 07:05:00,0.02,1280.01,1282.88,0
2023-04-15 07:10:00,0.81,1273.55,1274.92,0
2023-04-15 07:15:00,0.02,1270.59,1271.52,0
2023-04-15 07:20:00,0.02,1274.33,1276.7,0
2023-04-15 07:25:00,0.02,1270.84,1272.21,0
2023-04-15 07:30:00,6.76,1278.59,1279.79,0
2023-04-15 07:35:00,14.95,1265.93,1267.72,0
2023-04-15 07:40:00,8.92,1276.89,1278.71,0
2023-04-15 07:45:00,9.02,1289.35,1291.1,0
2023-04-15 07:50:00,9.26,1283.43,1288.06,0
2023-04-15 07:55:00,9.41,1300.43,1302.92,0
2023-04-15 08:00:00,9.31,1286.09,1287.12,0
2023-04-15 08:05:00,5.52,1303.36,1304.35,0
2023-04-15 08:10:00,4.36,1329.26,1330.69,0
2023-04-15 08:15:00,20.64,1328.59,1330.64,0
2023-04-15 08:20:00,21.62,1349.26,1355.56,0
2023-04-15 08:25:00,4.94,1350.46,1358.7,0
2023-04-15 08:30:00,22.27,1315.68,1325.23,0
2023-04-15 08:35:00,8.31,1334.66,1347.33,0
2023-04-15 08:40:00,22.71,1329.5,1341.49,0
2023-04-15 08:45:00,591.0,1328.03,1341.83,0
2023-04-15 08:50:00,420.64,1347.75,1362.0,0
2023-04-15 08:55:00,35.95,1350.06,1370.13,0
2023-04-15 09:00:00,9.03,1332.6,1347.42,0
2023-04-15 09:05:00,10.63,1321.76,1336.48,0
2023-04-15 09:10:00,379.95,1327.81,1346.13,0
2023-04-15 09:15:00,390.0,1329.6,1345.88,0
2023-04-15 09:20:00,137.8,1324.92,1344.85,0
2023-04-15 09:25:00,10.99,1322.71,1342.39,0
2023-04-15 09:30:00,35.95,1301.53,1320.53,0
2023-04-15 09:35:00,240.01,1307.63,1327.06,0
2023-04-15 09:40:00,0.02,1297.75,1314.35,0
2023-04-15 09:45:00,0.02,1281.02,1295.57,0
2023-04-15 09:50:00,5.2,1275.95,1289.7,0
2023-04-15 09:55:00,10.57,1283.61,1298.69,0
2023-04-15 10:00:00,3.59,1247.95,1264.93,0
2023-04-15 10:05:00,13.22,1243.06,1259.22,0
2023-04-15 10:10:00,-42.43,1251.28,1272.57,0
2023-04-15 10:15:00,0.02,1232.36,1273.18,0
2023-04-15 10:20:00,-35.85,1174.25,1258.98,0
2023-04-15 10:25:00,-37.24,1172.57,1218.48,0
2023-04-15 10:30:00,-39.54,1230.56,1271.66,0
2023-04-15 10:35:00,-35.94,1209.26,1227.95,0
2023-04-15 10:40:00,5.74,1237.72,1256.69,0
2023-04-15 10:45:00,15.26,1251.24,1299.16,0
