timestamp,price,demand,demand_total,pv_power
2023-04-15 11:50:00,0.02,1219.28,1234.79,0
2023-04-15 11:55:00,0.02,1182.15,1191.68,0
2023-04-15 12:00:00,9.42,1187.06,1188.59,0
2023-04-15 12:05:00,14.13,1165.62,1167.56,0
2023-04-15 12:10:00,9.42,1149.52,1151.99,0
2023-04-15 12:15:00,19.47,1083.43,1084.14,0
2023-04-15 12:20:00,20.32,1093.43,1096.98,0
2023-04-15 12:25:00,19.37,1098.81,1124.44,0
2023-04-15 12:30:00,35.47,1106.0,1122.68,0
2023-04-15 12:35:00,34.66,1120.65,1120.24,0
2023-04-15 12:40:00,34.66,1115.42,1115.0,0
2023-04-15 12:45:00,34.79,1121.31,1120.86,0
2023-04-15 12:50:00,34.29,1130.7,1131.37,0
2023-04-15 12:55:00,82.65,1101.38,1101.25,0
2023-04-15 13:00:00,33.73,1066.54,1066.56,0
2023-04-15 13:05:00,75.73,1031.2,1033.09,0
2023-04-15 13:10:00,32.07,957.7,960.9,0
2023-04-15 13:15:00,79.61,942.41,943.35,0
2023-04-15 13:20:00,32.43,864.4,867.22,0
2023-04-15 13:25:00,17.36,821.09,824.16,0
2023-04-15 13:30:00,31.18,783.96,788.48,0
2023-04-15 13:35:00,16.36,719.16,728.09,0
2023-04-15 13:40:00,15.69,693.13,709.76,0
2023-04-15 13:45:00,21.96,694.29,708.34,0
2023-04-15 13:50:00,-46.8,660.34,676.33,0
2023-04-15 13:55:00,-48.5,703.99,719.29,0
2023-04-15 14:00:00,-48.5,710.94,728.36,0
2023-04-15 14:05:00,-50.0,686.68,747.1,0
2023-04-15 14:10:00,-50.0,627.71,660.97,0
2023-04-15 14:15:00,-48.5,619.53,644.72,0
2023-04-15 14:20:00,-48.5,655.16,691.57,0
2023-04-15 14:25:00,-50.0,677.05,713.71,0
